aalib1 1.4p5-22
libncurses5 5.4-4
libncursesw5 5.4-4
libneon23 0.23.9.dfsg.3-
libnet-perl 1.19-1
libnetpbm10 10.0-7
libnewt0 0.50.17-9.6
libnewt0.51 0.51.6-5
libnspr4 1.6-5
libnss-db 2.2-6.2
libnss3 1.6-5
libntfs5 1.9.2-2
liboaf0 0.6.10-3
libofx0c102 0.6.6-2
libogg0 1.1.0-1
liboggflac1 1.1.0-11
libopenal0 0.2003020200-1
libopencdk8 0.5.5-8
libopenh323-1. 1.13.4-1
libopenobex-1. 1.0.0-rel-3
libopenobex1 0.9.8-10
liborbit0 0.5.17-9
liborbit2 2.10.2-1.1
libosp3c102 1.5release-4
libosp4 1.5.1.0-2
libpam-modules 0.76-22
libpam-runtime 0.76-22
libpam0g 0.76-22
libpanel-apple 2.6.2-3
libpango1.0-0 1.4.1-2
libpango1.0-co 1.4.1-2
libpaper1 1.1.14-0.4
libparted1.6-0 1.6.9-3.2
libparted1.6-i 1.6.9-3.2
libpcap0 0.6.2-2
libpcap0.7 0.7.2-7
libpcap0.8 0.8.3-4
libpcre3 4.5-1.1
libperl5.8 5.8.4-2.2
libpisock8 0.11.8-10
libpisync0 0.11.8-10
libpng10-0 1.0.15-6
libpng12-0 1.2.5.0-7
libpng2 1.0.15-6
libpopt0 1.7-4
libpq3 7.4.5-3
libprinterconf 0.5-6
libprintsys 0.6-4
libpt-1.6.3 1.6.5-1
libpt-plugins- 1.6.5-1
libqcad0 2.0.3.3-1-1
libqt3c102-mt 3.3.3-2
libqthreads-12 1.6.4-4
libquicktime1 0.9.3-1
libraptor1 1.3.2-1
libraw1394-5 0.10.1-1
libreadline4 4.3-11
librecode0 3.6-10
libreiserfs0.3 0.3.0.4-4
librekall0 2.2.0-beta4-2
libroken16-ker 1.2.2-11
librsvg2-2 2.7.2-5
librsvg2-commo 2.7.2-5
libsamplerate0 0.1.1-2
libsane 1.0.14-7
libsane-extras 1.0.14.2
libsasl2 2.1.19-1.1
libsasl7 1.5.28-6.1
libscrollkeepe 0.3.14-9
libsdl-console 1.3-3
libsdl-gfx1.2 2.0.9-4
libsdl-image1. 1.2.3-5
libsdl-mixer1. 1.2.5-8
libsdl-net1.2 1.2.5-3
libsdl-perl 1.20.3-1
libsdl-ttf2.0- 2.0.6-5
libsdl1.2debia 1.2.7-7
libsdl1.2debia 1.2.7-7
libselinux1 1.14-2
libsigc++-1.2- 1.2.5-1
libslp1 1.0.11-7
libsm6 4.3.0.dfsg.1-4
libsmbclient 3.0.6-3
libsmpeg0 0.4.5+cvs20030
libsndfile1 1.0.10-1
libsnmpkit2c10 0.9-7
libsoup2.0-0 1.99.28-5
libsoup2.2-3 2.1.12-2
libsp1 1.3.4-1.2.1-42
libspeex1 1.1.3-1
libss2 1.35-6
libssl0.9.6 0.9.6l-3
libssl0.9.7 0.9.7d-4
libstartup-not 0.7-1
libstdc++5 3.3.4-6sarge1.
libstdc++5-3.3 3.3.4-6sarge1.
libstlport4.6 4.6.2-1
libsvga1 1.4.3-17
libt1-5 5.0.2-3
libtagcoll0 0.99.1-1
libtasn1-0 0.1.2-5
libtasn1-2 0.2.10-3
libtdb1 1.0.6-11
libtext-charwi 0.04-1
libtext-iconv- 1.2-3
libtext-wrapi1 0.06-1
libtextwrap1 0.1-1
libtiff3g 3.6.1-2
libtiff4 3.6.1-1.1
libttf2 1.4pre.2003040
libui-dialog-p 1.06-5
libungif4g 4.1.3-1
liburi-perl 1.30-1
libusb-0.1-4 0.1.8-16
libuuid1 1.35-6
libvncauth0 3.3.7-5
libvorbis0a 1.0.1-1
libvorbisenc2 1.0.1-1
libvorbisfile3 1.0.1-1
libvte-common 0.11.11-5
libvte4 0.11.11-5
libwine 0.0.20040615-1
libwmf0.2-7 0.2.8-1.1
libwnck-common 2.6.2-1
libwnck4 2.6.2-1
libwrap0 7.6.dbs-6
libwvstreams3- 3.75.0-1
libwww-perl 5.800-1
libwxbase2.4 2.4.2.6
libwxgtk2.4 2.4.2.6
libwxgtk2.4-py 2.4.2.6
libx11-6 4.3.0.dfsg.1-4
libxaw7 4.3.0.dfsg.1-4
libxbase0-reka 2.0.0-1
libxbsql0 0.11-1
libxcursor1 1.1.3-1
libxext6 4.3.0.dfsg.1-4
libxft1 4.3.0.dfsg.1-4
libxft2 2.1.2-6
libxi6 4.3.0.dfsg.1-4
libxine1 1-rc3c-1
libxklavier8 1.03-1
libxml1 1.8.17-8
libxml2 2.6.11-3
libxmu6 4.3.0.dfsg.1-4
libxmuu1 4.3.0.dfsg.1-4
libxosd2 2.2.11-1
libxp6 4.3.0.dfsg.1-4
libxpm4 4.3.0.dfsg.1-4
libxrandr2 4.3.0.dfsg.1-4
libxrender1 0.8.3-7
libxslt1 1.1.8-4
libxslt1.1 1.1.8-4
